Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
Marcelo 'No Nickname' Mello,Marcelo Mello,No Nickname,5.7,170.0,Southpaw,1,0,0,False,1.0,0.0,7.0,1.0,0.0,131.58800000000002,0.53,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,Lightweight,Male,Striker
Vanessa 'No Nickname' Melo,Vanessa Melo,No Nickname,5.5,135.0,Orthodox,11,8,0,False,3.0,0.0,59.0,0.5,0.0,6.25,0.31,0.25,0.62,0.76,0.3,0.5,0.25,0.0,0.0,Women's Bantamweight,Female,Hybrid
Antonio 'Samurai' Mendes,Antonio Mendes,Samurai,6.3,205.0,Southpaw,18,13,0,False,1.0,0.5,4.0,0.5,0.0,15.5,0.5,0.31,0.5,0.5,0.42,0.3,0.5,0.0,0.0,Light Heavyweight,Male,Hybrid
Chad 'Money' Mendes,Chad Mendes,Money,5.6,145.0,Orthodox,18,5,0,False,2.0,0.57,29.14,1.43,0.14,127.43,0.58,0.49,0.56,0.82,0.51,0.47,0.55,0.14,0.0,Featherweight,Male,Striker
Augusto 'Tanquinho' Mendes,Augusto Mendes,Tanquinho,5.6,135.0,Orthodox,6,2,0,False,2.33,0.67,27.0,0.0,0.0,108.67,0.33,0.25,0.46,0.68,0.3,0.88,0.22,0.0,0.33,Bantamweight,Male,Hybrid
Eddie 'No Nickname' Mendez,Eddie Mendez,No Nickname,5.1,185.0,Orthodox,8,3,1,False,1.0,0.0,4.0,0.0,0.0,22.0,0.33,0.3,0.0,1.0,0.33,0.0,0.0,0.0,0.0,Middleweight,Male,No Clear Style
Mateus 'Bocao' Mendonca,Mateus Mendonca,Bocao,5.6,125.0,Orthodox,10,3,0,False,2.33,0.0,16.67,2.0,0.33,245.67,0.4,0.24,0.64,0.5,0.28,1.0,0.4,0.33,0.0,Flyweight,Male,Striker
Alonzo 'Atomic' Menifield,Alonzo Menifield,Atomic,6.0,205.0,Orthodox,17,5,1,False,2.06,0.38,37.62,0.5,0.06,124.25,0.54,0.5,0.72,0.66,0.47,0.44,0.39,0.12,0.06,Light Heavyweight,Male,Striker
Ivan 'The Pride of El Salvador' Menjivar,Ivan Menjivar,The Pride of El Salvador,5.6,145.0,Orthodox,25,12,0,False,2.11,0.22,24.11,0.78,0.67,28.11,0.44,0.36,0.52,0.42,0.28,0.56,0.49,0.67,0.0,Bantamweight,Male,Wrestler
Dave 'The Warrior' Menne,Dave Menne,The Warrior,5.1,170.0,Orthodox,45,17,2,False,2.5,0.0,23.83,0.33,2.0,181.33,0.34,0.19,0.7,0.72,0.26,0.47,0.28,2.0,0.5,Middleweight,Male,Wrestler
Joe 'No Nickname' Merritt,Joe Merritt,No Nickname,6.0,170.0,Orthodox,7,2,0,False,3.0,0.0,23.0,0.0,0.0,151.0,0.58,0.53,0.75,0.8,0.22,1.0,0.85,0.0,3.0,Welterweight,Male,Wrestler
Jonathan 'District' Meunier,Jonathan Meunier,District,6.3,170.0,Switch,8,1,0,False,3.0,0.0,17.0,1.0,0.5,39.5,0.58,0.5,0.32,0.82,0.52,0.35,0.88,0.0,0.0,Welterweight,Male,Striker
Yaotzin 'No Nickname' Meza,Yaotzin Meza,No Nickname,5.9,145.0,Orthodox,21,11,0,False,2.57,0.0,18.43,0.43,0.71,206.57,0.42,0.27,0.61,0.7,0.38,0.48,0.36,1.14,0.43,Bantamweight,Male,Wrestler
Guy 'No Nickname' Mezger,Guy Mezger,No Nickname,6.1,200.0,Orthodox,30,14,2,False,1.2,0.2,13.6,0.2,0.8,173.552,0.49,0.43,0.6,0.78,0.27,0.7,0.42,0.8,0.0,Lightweight,Male,Wrestler
Jonathan 'The Captain' Micallef,Jonathan Micallef,The Captain,6.0,170.0,Southpaw,8,1,0,False,3.0,1.0,85.0,0.0,0.0,9.0,0.44,0.34,0.82,0.71,0.44,1.0,0.0,0.0,0.0,Welterweight,Male,Hybrid
Andreas 'The Spartan' Michailidis,Andreas Michailidis,The Spartan,6.0,170.0,Orthodox,13,6,0,False,2.25,0.0,29.25,0.75,0.0,101.5,0.46,0.39,0.62,0.72,0.36,0.55,0.69,0.0,0.25,Middleweight,Male,Striker
David 'BullDawg' Michaud,David Michaud,BullDawg,5.9,155.0,Orthodox,11,3,0,False,3.0,0.0,51.67,2.0,0.0,220.67,0.4,0.36,0.71,0.36,0.35,0.61,0.63,0.67,0.0,Lightweight,Male,Striker
Kristof 'The Hurricane' Midoux,Kristof Midoux,The Hurricane,6.1,220.0,Orthodox,6,10,0,False,2.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Heavyweight,Male,No Clear Style
Bojan 'No Nickname' Mihajlovic,Bojan Mihajlovic,No Nickname,5.11,205.0,Orthodox,10,6,0,False,2.0,0.33,40.33,0.67,0.33,22.0,0.32,0.09,0.56,0.43,0.32,0.24,0.0,0.0,0.0,Light Heavyweight,Male,No Clear Style
Billy 'The Kid' Miles,Billy Miles,The Kid,5.1,170.0,Orthodox,2,2,0,False,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Welterweight,Male,No Clear Style
Pat 'The Croatian Sensation' Miletich,Pat Miletich,The Croatian Sensation,5.1,170.0,Orthodox,29,7,2,False,2.1,0.1,14.7,1.0,0.5,157.67,0.49,0.32,0.65,0.59,0.36,0.61,0.46,0.5,0.1,Welterweight,Male,Wrestler
Curtis 'Curtious' Millender,Curtis Millender,Curtious,6.2,170.0,Orthodox,17,5,0,False,2.4,0.0,41.4,0.8,0.0,10.4,0.37,0.3,0.47,0.61,0.37,0.5,0.3,0.0,0.0,Welterweight,Male,Hybrid
Phillip 'No Nickname' Miller,Phillip Miller,No Nickname,5.11,185.0,Orthodox,16,0,0,False,2.5,0.0,20.0,3.0,0.5,486.0,0.52,0.44,0.84,0.5,0.28,0.32,0.51,0.5,0.5,Middleweight,Male,Wrestler
Jason 'Mayhem' Miller,Jason Miller,Mayhem,6.1,185.0,Orthodox,23,10,0,False,3.0,0.0,24.0,2.0,0.33,83.67,0.34,0.25,0.83,0.44,0.3,0.79,0.89,0.67,0.33,Middleweight,Male,Wrestler
Dan 'No Nickname' Miller,Dan Miller,No Nickname,6.1,185.0,Orthodox,14,8,0,False,2.46,0.23,28.69,0.85,1.0,136.0,0.35,0.28,0.57,0.66,0.27,0.43,0.26,1.23,0.15,Middleweight,Male,Wrestler
Jim 'A-10' Miller,Jim Miller,A-10,5.8,155.0,Southpaw,38,19,0,False,2.24,0.15,32.59,1.48,0.91,122.87,0.42,0.3,0.64,0.75,0.37,0.51,0.49,1.11,0.13,Lightweight,Male,Wrestler
Cole 'Magrinho' Miller,Cole Miller,Magrinho,6.1,145.0,Orthodox,21,11,0,False,2.25,0.25,38.0,0.95,1.2,92.05,0.32,0.26,0.58,0.58,0.26,0.4,0.54,1.2,0.45,Featherweight,Male,Wrestler
Juliana 'Killer' Miller,Juliana Miller,Killer,5.7,125.0,Orthodox,5,3,0,False,2.5,0.0,44.25,1.75,0.0,294.5,0.43,0.36,0.69,0.62,0.4,0.62,0.42,1.0,0.0,Women's Flyweight,Female,Striker
Che 'Beautiful' Mills,Che Mills,Beautiful,6.1,170.0,Orthodox,16,10,0,False,1.75,0.0,10.75,0.5,0.0,44.75,0.53,0.43,0.39,0.7,0.5,0.76,0.46,0.0,0.25,Welterweight,Male,Hybrid
Adam 'The Prototype' Milstead,Adam Milstead,The Prototype,6.3,205.0,Orthodox,8,4,0,False,2.0,0.5,33.25,0.0,0.0,5.0,0.6,0.55,0.62,0.75,0.58,0.33,0.75,0.0,0.0,Light Heavyweight,Male,Striker
Alberto 'Soldier of God' Mina,Alberto Mina,Soldier of God,6.0,170.0,Orthodox,13,1,0,False,2.25,0.25,38.25,0.75,0.25,62.5,0.38,0.34,0.53,0.57,0.34,0.41,0.55,0.0,0.25,Welterweight,Male,Hybrid
Darrick 'No Nickname' Minner,Darrick Minner,No Nickname,5.7,145.0,Orthodox,26,14,0,False,2.0,0.17,16.33,0.67,1.33,227.5,0.72,0.4,0.94,0.77,0.59,0.71,0.51,1.5,0.67,Featherweight,Male,Wrestler
Ikuhisa 'Minowaman' Minowa,Ikuhisa Minowa,Minowaman,5.9,181.0,Orthodox,60,42,8,False,3.0,0.0,3.0,3.0,0.0,447.0,0.15,0.16,0.0,0.0,0.12,0.0,1.0,0.0,0.0,Middleweight,Male,Wrestler
