Full Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Marcio Barbosa,Ticoto,5.6,145.0,70.0,Orthodox,17,2,0,False
Edson Barboza,Junior,5.11,155.0,75.0,Orthodox,24,13,0,False
Raoni Barcelos,No Nickname,5.7,135.0,67.0,Orthodox,20,5,0,False
Daniel Barez,No Nickname,5.6,125.0,66.0,Orthodox,17,7,0,False
Danny Barlow,LeftHand2God,6.2,185.0,79.0,Southpaw,9,1,0,False
Luke Barnatt,The Bigslow,6.6,185.0,77.0,Orthodox,13,4,0,False
James Barnes,Mooka,5.8,135.0,71.0,Orthodox,14,5,0,False
Nick Barnes,No Nickname,5.11,170.0,,Orthodox,11,2,0,False
Shonte Barnes,Shyne,5.11,185.0,76.0,Southpaw,6,2,1,False
Josh Barnett,The Warmaster,6.3,250.0,78.0,Orthodox,35,8,0,False
Chris Barnett,Beastboy,5.9,265.0,75.0,Orthodox,23,9,0,False
Chris Barnhizer,No Nickname,,,,Orthodox,2,3,0,False
David Baron,No Nickname,5.6,155.0,,Switch,17,4,1,False
Phil Baroni,The New York Bad Ass,5.9,170.0,72.0,Orthodox,15,18,0,False
Dan Barrera,The Fireman,5.9,170.0,,Orthodox,3,1,0,False
Carlos Barreto,No Nickname,6.4,230.0,,Orthodox,14,9,0,False
Jose Barreto,No Nickname,,185.0,,Southpaw,0,1,0,False
Peter Barrett,Slippery,5.1,145.0,73.0,Southpaw,11,5,0,False
Marc-Andre Barriault,Powerbar,6.1,185.0,74.0,Orthodox,17,10,0,False
David Barrios,No Nickname,5.6,145.0,,Orthodox,4,8,0,False
Alexandre Barros,Baixinho,5.9,170.0,,Southpaw,22,11,0,False
Ricardo Barros,No Nickname,6.1,205.0,,Orthodox,2,2,0,False
Francimar Barroso,Bodao,6.1,205.0,75.0,Orthodox,19,7,0,False
Pat Barry,HD,5.11,235.0,74.0,Orthodox,8,7,0,False
Dean Barry,The Sniper,5.1,170.0,72.0,Orthodox,4,2,0,False
Enrique Barzola,El Fuerte,5.7,145.0,70.0,Orthodox,17,5,2,False
Javid Basharat,The Snow Leopard,5.9,135.0,69.0,Orthodox,14,2,0,False
Farid Basharat,Ferocious,5.8,135.0,71.0,Orthodox,13,0,0,False
Austin Bashi,No Nickname,5.6,145.0,70.0,Orthodox,14,1,0,False
Stephen Bass,Bigfish,5.9,145.0,,Orthodox,11,2,0,False
Sean Bassett,No Nickname,,155.0,,Orthodox,0,4,0,False
Ryan Bastianelli,Relentless,5.5,135.0,,Orthodox,6,7,0,False
Shayna Baszler,The Queen of Spades,5.7,135.0,,Orthodox,15,11,0,False
Namsrai Batbayar,Steppe Warrior,5.4,125.0,68.0,Orthodox,9,1,0,False
Michel Batista,No Nickname,6.3,260.0,,Orthodox,4,1,0,False
Bryan Battle,The Butcher,6.1,185.0,77.0,Orthodox,13,2,0,False
Alan Baudot,The Black Samourai,6.3,243.0,79.0,Orthodox,8,3,0,False
Mario Bautista,No Nickname,5.9,135.0,69.0,Switch,16,2,0,False
Chris Beal,Real Deal,5.7,125.0,69.0,Orthodox,10,5,0,False
Donovan Beard,The Highlight Reel,6.2,185.0,78.0,Orthodox,7,2,0,False
Rudy Bears,No Nickname,5.11,170.0,,Southpaw,16,15,0,False
Salvador Becerra,No Nickname,5.9,155.0,,Orthodox,5,2,0,False
Ariel Beck,No Nickname,5.6,125.0,66.0,Southpaw,4,5,0,False
Jack Becker,No Nickname,5.1,155.0,71.0,Orthodox,13,6,0,False
Jeff Bedard,Little Popeye,5.6,145.0,,Orthodox,13,3,0,False
Eric Bedard,Lucky Strikes,6.2,239.0,,Orthodox,6,7,0,False
Johnny Bedford,Brutal,5.1,135.0,71.0,Orthodox,21,13,1,False
Rolando Bedoya,The Machine,5.11,155.0,74.0,Orthodox,14,4,0,False
Chase Beebe,No Nickname,5.7,135.0,67.0,Orthodox,24,13,1,False
Lyle Beerbohm,Fancy Pants,5.1,155.0,,Southpaw,24,3,0,False
Allan Begosso,Mini,5.5,135.0,66.0,Orthodox,7,2,1,False
Azamat Bekoev,Iron,6.0,185.0,72.0,Orthodox,20,3,0,False
Mirsad Bektic,No Nickname,5.8,145.0,70.0,Orthodox,13,4,0,False
Diana Belbita,The Warrior Princess,5.7,125.0,68.0,Orthodox,15,10,0,False
Alan Belcher,The Talent,6.2,185.0,75.0,Orthodox,18,8,0,False
Vitor Belfort,The Phenom,6.0,185.0,74.0,Southpaw,26,14,0,False
Yousri Belgaroui,No Nickname,6.5,185.0,79.0,Orthodox,8,3,0,False
Rodolfo Bellato,Trator,6.3,205.0,75.0,Orthodox,12,2,1,False
Danilo Belluardo,Caterpillar,6.0,155.0,74.0,Southpaw,12,5,0,False
Joey Beltran,The Mexicutioner,6.1,185.0,75.0,Orthodox,17,14,0,False
Marco Beltran,Psycho,5.8,125.0,69.0,Orthodox,8,6,0,False
Joseph Benavidez,No Nickname,5.4,125.0,65.0,Southpaw,28,8,0,False
Mike Bencic,Batman,6.0,215.0,,Orthodox,1,2,0,False
Dave Beneteau,Dangerous,6.2,250.0,,Orthodox,6,5,1,False
Karla Benitez,No Nickname,5.3,113.0,,Orthodox,14,11,1,False
Gabriel Benitez,Moggly,5.8,155.0,71.0,Southpaw,23,13,0,False
Charles Bennett,Krazy Horse,5.8,155.0,,Orthodox,30,33,2,False
Josh Bennett,No Nickname,6.4,259.0,,Orthodox,11,14,0,False
DeAnna Bennett,The Argentine Assassin,5.4,125.0,68.0,Orthodox,8,3,1,False
Benjamin Bennett,Mr. Alaska,6.0,170.0,73.0,Switch,7,1,0,False
Lance Benoist,No Nickname,5.11,170.0,72.0,Southpaw,7,2,0,False
Joe Benoit,No Nickname,5.9,170.0,,Orthodox,11,4,0,False
Ryan Benoit,Baby Face,5.5,125.0,68.0,Orthodox,10,8,0,False
Pat Benson,No Nickname,5.9,155.0,,Orthodox,3,5,3,False
Len Bentley,No Nickname,5.9,155.0,,Orthodox,10,6,0,False
Steve Berger,The Red Nosed Pitbull,5.11,170.0,,Orthodox,21,23,2,False
Kenneth Bergh,No Nickname,6.2,205.0,74.0,Orthodox,8,0,0,False
Bret Bergmark,The Angry Hick,5.9,170.0,,Orthodox,6,1,1,False
Keith Berish,Sha Bang Bang,6.0,205.0,,Orthodox,5,1,0,False
Dennis Bermudez,The Menace,5.6,155.0,66.0,Orthodox,17,9,0,False
Manny Bermudez,The Bermudez Triangle,5.1,145.0,71.0,Orthodox,14,2,0,False
Talita Bernardo,No Nickname,5.4,135.0,68.0,Orthodox,6,4,0,False
Dave Berry,No Nickname,,,,Orthodox,0,1,0,False
Keith Berry,No Nickname,6.1,185.0,,Orthodox,15,14,1,False
Dieusel Berto,No Nickname,5.9,200.0,,Orthodox,0,3,0,False
Edson Berto,Little Tiger,5.6,155.0,,Orthodox,17,12,1,False
