"Status","","'=","in Betrieb",""
"","","'=","genehmigt, noch nicht in Betrieb",""


"Zuständige Dienststelle","Standortgemeinde","Hersteller","Typbezeichnung des Herstellers","Generatorleistung [MW]","Nabenhöhe [m]","Rotordurchmesser [m]","Status","Inbetriebnahmedatum","Stilllegedatum","Ost","Nord","Herkunft der Daten","Stand der Daten"
"Landratsamt Main-Tauber-Kreis","Ahorn","GE","GE 2.75-120","2,78","139,00","120,00","in Betrieb","20.05.2017",,"541858","5487751","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Ahorn","Generel Electrics","GE 2.75-120","2,78","139,00","120,00","in Betrieb","24.09.2016",,"540630","5481834","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Ahorn","General Electrics","GE 2.75-120","2,78","139,00","120,00","in Betrieb","12.09.2016",,"541548","5480545","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Ahorn","General Electrics","GE 2.75-120","2,78","139,00","120,00","in Betrieb","02.09.2016",,"541505","5480098","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Ahorn","General Electrics","GE 2.75-120","2,78","139,00","120,00","in Betrieb","24.08.2016",,"542466","5479873","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Vestas","V90-2,0 MW OptiSpeed","2,00","105,00","90,00","in Betrieb","14.09.2004",,"541505","5484920","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Vestas","V90-2,0 MW OptiSpeed","2,00","105,00","90,00","in Betrieb","14.09.2004",,"541212","5484490","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Freudenberg","Nordex","N117/2400","2,40","141,00","117,00","in Betrieb","16.09.2016",,"527251","5511266","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Freudenberg","Nordex","N117/2400","2,40","141,00","117,00","in Betrieb","16.09.2016",,"527796","5511213","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","AN Bonus","1,3 MW/62","1,30","80,00","62,00","in Betrieb","01.09.2001",,"537475","5490433","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","AN Bonus","1,3 MW/62","1,30","80,00","62,00","in Betrieb","01.09.2001",,"537435","5490141","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","AN Bonus","1,3 MW/62","1,30","80,00","62,00","in Betrieb","01.09.2001",,"537400","5489843","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","AN Bonus","1,6 MW/62","1,30","80,00","62,00","in Betrieb","01.09.2001",,"537006","5490100","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","AN Bonus","1,6 MW/62","1,30","80,00","62,00","in Betrieb","01.09.2001",,"537330","5489540","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Großrinderfeld","Enercon","E58/10.58","1,00","90,00","58,60","in Betrieb","02.01.2003",,"555288","5506537","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Külsheim","Enercon","E40/644","0,60","77,65","44,00","in Betrieb","20.09.2004",,"535561","5503353","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Külsheim","Enercon","E40/644","0,60","77,65","44,00","in Betrieb","20.09.2004",,"535309","5503480","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Lauda-Königshofen","Enercon","E-58/10.58","1,00","70,50","58,60","in Betrieb","30.10.2002",,"547053","5489380","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Lauda-Königshofen","Enercon","E-58 Oktav","1,00","70,50","58,60","in Betrieb","30.10.2002",,"547614","5488896","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Tauberbischofsheim","Enercon","E-66/18.70","1,80","98,00","70,00","in Betrieb","30.04.2003",,"545879","5491237","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-82","2,30","107,38","82,00","in Betrieb","30.04.2012",,"570104","5481151","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-66/18,70","1,00","98,00","70,00","in Betrieb","30.04.2002",,"570323","5480685","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-66/18.70","1,00","98,00","70,00","in Betrieb","30.04.2002",,"570470","5481541","LUBW      ","2025"
