study_id,participant_id,phase,condition,hit,fa
2,99,conditioning,CSp,0.93,0.41
2,99,post-conditioning,CSm,0.37,0.18
2,99,post-conditioning,CSp,0.7,0.41
2,99,pre-conditioning,CSm,0.53,0.18
2,99,pre-conditioning,CSp,0.8,0.41
2,100,conditioning,CSm,0.9,0.26
2,100,conditioning,CSp,0.83,0.23
2,100,post-conditioning,CSm,0.43,0.26
2,100,post-conditioning,CSp,0.57,0.23
2,100,pre-conditioning,CSm,0.7,0.26
2,100,pre-conditioning,CSp,0.63,0.23
2,101,conditioning,CSm,0.53,0.14
2,101,conditioning,CSp,0.7,0.13
2,101,post-conditioning,CSm,0.5,0.14
2,101,post-conditioning,CSp,0.5,0.13
2,101,pre-conditioning,CSm,0.67,0.14
2,101,pre-conditioning,CSp,0.7,0.13
2,102,conditioning,CSm,0.47,0.17
2,102,conditioning,CSp,0.77,0.59
2,102,post-conditioning,CSm,0.37,0.17
2,102,post-conditioning,CSp,0.6,0.59
2,102,pre-conditioning,CSm,0.5,0.17
2,102,pre-conditioning,CSp,0.73,0.59
2,103,conditioning,CSm,0.6,0.54
2,103,conditioning,CSp,0.3,0.36
2,103,post-conditioning,CSm,0.67,0.54
2,103,post-conditioning,CSp,0.37,0.36
2,103,pre-conditioning,CSm,0.63,0.54
2,103,pre-conditioning,CSp,0.47,0.36
