"Date","Open","High","Low","Close","Adj.Close","Volume"
"2010-11-03",3.0925,3.115,3.0125,3.095,2.839183,67174800
"2010-11-04",3.125,3.1575,3.095,3.1,2.84377,70001600
"2010-11-05",3.1225,3.18,3.1075,3.1525,2.89193,73511600
"2010-11-08",3.15,3.1925,3.125,3.165,2.903397,60515600
"2010-11-09",3.165,3.19,3.13,3.1475,2.887345,63396400
"2010-11-10",3.17,3.185,3.125,3.185,2.921743,52101600
"2010-11-11",3.11,3.205,3.0675,3.1525,2.89193,108998000
NA,NA,NA,NA,NA,NA,NA
"2010-11-15",3.33,3.3775,3.2675,3.275,3.004306,73354800
"2010-11-16",3.22,3.265,3.1725,3.1775,2.914865,73935600
"2010-11-17",3.175,3.2675,3.145,3.23,2.963025,55176400
"2010-11-18",3.2725,3.3625,3.2725,3.33,3.054759,99312000
"2010-11-19",3.3225,3.45,3.3175,3.4375,3.153375,71648400
"2010-11-22",3.415,3.46,3.385,3.44,3.155668,46266800
"2010-11-23",3.4,3.435,3.335,3.36,3.082279,45783200
"2010-11-24",3.395,3.455,3.3925,3.4425,3.15796,39778400
"2010-11-26",3.44,3.46,3.4,3.4,3.118974,14310400
"2010-11-29",3.385,3.45,3.37,3.4375,3.153375,46819200
"2010-11-30",3.385,3.42,3.34,3.4025,3.121267,72093600
"2010-12-01",3.47,3.575,3.465,3.5525,3.258869,62653600
"2010-12-02",3.5525,3.6175,3.55,3.595,3.297857,52931600
"2010-12-03",3.5775,3.6975,3.57,3.6975,3.391884,60604400
"2010-12-06",3.71,3.7175,3.6125,3.6275,3.327669,43842400
NA,NA,NA,NA,NA,NA,NA
"2010-12-08",3.74,3.8175,3.7125,3.7775,3.465272,61325200
"2010-12-09",3.6875,3.74,3.635,3.715,3.407938,94240800
"2010-12-10",3.715,3.7725,3.705,3.7375,3.428578,45190000
"2010-12-13",3.7525,3.76,3.6325,3.6425,3.341429,60910800
"2010-12-14",3.7125,3.78,3.6425,3.6475,3.346016,75516000
"2010-12-15",3.655,3.7,3.5625,3.5675,3.272629,62417600
"2010-12-16",3.605,3.625,3.5625,3.5725,3.277216,63187200
NA,NA,NA,NA,NA,NA,NA
"2010-12-20",3.605,3.6225,3.575,3.5775,3.281803,34408800
"2010-12-21",3.6125,3.7175,3.61,3.7175,3.41023,46695200
"2010-12-22",3.71,3.7625,3.675,3.7575,3.446924,47798800
"2010-12-23",3.7575,3.7575,3.715,3.73,3.421698,27378400
"2010-12-27",3.72,3.7775,3.6525,3.75,3.440045,25550000
"2010-12-28",3.75,3.775,3.7125,3.735,3.426285,19426000
"2010-12-29",3.7325,3.7625,3.7,3.735,3.426285,17766000
"2010-12-30",3.73,3.77,3.7175,3.7475,3.437751,17448800
"2010-12-31",3.75,3.855,3.745,3.85,3.531778,39125200
"2011-01-03",3.88,3.9925,3.875,3.955,3.6281,81744800
"2011-01-04",3.9625,3.98,3.855,3.9425,3.616633,65138400
"2011-01-05",4.015,4.25,3.975,4.245,3.89413,142821600
"2011-01-06",4.355,4.835,4.3425,4.8325,4.433071,349331200
"2011-01-07",4.7775,4.9825,4.67,4.9675,4.556914,257998400
"2011-01-10",4.8775,5.1675,4.84,5.1575,4.731205,175034800
"2011-01-11",5.2275,5.2775,4.9675,5.0775,4.657821,271108800
"2011-01-12",5.08,5.8425,5.0625,5.8375,5.355003,343189600
"2011-01-13",5.775,5.96,5.595,5.8475,5.364175,269519200
"2011-01-14",5.7475,5.995,5.7125,5.8975,5.410042,159535200
"2011-01-18",5.8175,5.8575,5.6175,5.76,5.28391,181334800
"2011-01-19",5.7625,5.9,5.59,5.6025,5.139426,119789600
"2011-01-20",5.5475,5.64,5.4475,5.6075,5.144012,111140800
"2011-01-21",5.6675,5.7475,5.545,5.555,5.095853,73924400
"2011-01-24",5.81,6.2625,5.745,6.1825,5.671487,205690000
"2011-01-25",6.155,6.22,5.9525,5.9925,5.497192,108685600
"2011-01-26",6.055,6.25,6.0125,6.135,5.627913,107466000
"2011-01-27",6.2225,6.2375,6,6.1175,5.611858,65739600
"2011-01-28",6.1325,6.235,5.8,5.94,5.449032,109479600
"2011-01-31",5.95,6.0625,5.8525,5.98,5.485725,75016000
"2011-02-01",6.0325,6.1625,5.9925,6.1175,5.611858,65410400
"2011-02-02",6.0825,6.5425,6.0825,6.395,5.866424,160661600
"2011-02-03",6.405,6.405,6.1375,6.275,5.756341,103077600
