item,idx,token,surprisal
3.3,53,aff,7.210251331329346
3.3,54,t,3.8981566429138184
3.3,55,es,7.425373077392578
3.3,56,",",3.9988794326782227
3.3,57,i,7.550455093383789
3.3,58,hn,1.3933351039886475
3.3,59,j,9.561891555786133
3.3,60,eden,1.3068448305130005
3.3,61,Tag,10.780766487121582
3.3,62,a,7.6332621574401855
3.3,63,uf,1.1565406322479248
3.3,64,s,8.657919883728027
3.3,65,Ne,13.108879089355469
3.3,66,ue,3.1523478031158447
3.3,67,z,5.388026714324951
3.3,68,u,0.8018537759780884
3.3,69,be,5.434897422790527
3.3,70,ge,6.433289527893066
3.3,71,is,12.32287883758545
3.3,72,tern,6.638021945953369
3.3,73,und,5.726361274719238
3.3,74,st,8.598126411437988
3.3,75,ol,10.005181312561035
3.3,76,z,3.5581443309783936
3.3,77,z,6.6176652908325195
3.3,78,u,0.6610002517700195
3.3,79,mac,11.58725357055664
3.3,80,hen,0.4750503599643707
3.3,81,.,1.9778497219085693
3.3,82,Tim,9.29242992401123
3.3,83,s,5.914849281311035
3.3,84,Volvo,4.060135364532471
3.3,85,is,5.602458477020264
3.3,86,t,0.1846448928117752
3.3,87,e,2.9624879360198975
3.3,88,igent,8.298199653625488
3.3,89,lich,1.2777467966079712
3.3,90,gar,11.61365032196045
3.3,91,n,7.143172740936279
3.3,92,icht,0.916741132736206
3.3,93,ver,5.675593376159668
3.3,94,d,6.218923091888428
3.3,95,reck,12.01363468170166
3.3,96,t,1.8371708393096924
3.3,97,.,2.460390567779541
3.6,1,Tim,13.37127685546875
3.6,2,hat,16.047122955322266
3.6,3,e,10.726606369018555
3.6,4,inen,8.06899356842041
3.6,5,ne,8.914849281311035
3.6,6,u,2.019045829772949
3.6,7,en,2.195406913757324
3.6,8,Volvo,19.855846405029297
3.6,9,g,6.908911228179932
3.6,10,ek,5.970644474029541
3.6,11,au,6.085506916046143
3.6,12,ft,2.0237746238708496
3.6,13,",",3.597280502319336
3.6,14,we,7.997663974761963
3.6,15,il,3.8468689918518066
3.6,16,der,8.645648956298828
3.6,17,K,6.4800615310668945
3.6,18,ia,10.140036582946777
3.6,19,",",6.584797382354736
3.6,20,den,5.916366100311279
3.6,21,er,7.15794563293457
3.6,22,d,7.637983322143555
3.6,23,avor,18.03289031982422
3.6,24,hat,8.65759563446045
3.6,25,te,7.672976970672607
3.6,26,",",3.710728645324707
3.6,27,n,6.527153015136719
3.6,28,icht,0.9629901647567749
3.6,29,gen,8.66309928894043
3.6,30,ug,7.507123947143555
3.6,31,Pl,16.119300842285156
3.6,32,atz,4.657412052154541
3.6,33,hat,6.528520107269287
3.6,34,te,3.736368417739868
3.6,35,f,8.78787612915039
3.6,36,ür,0.2830761969089508
