Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition
3,1,1,50,0.962,0.346,38,Fast
3,1,1,50,1.162,0.265,35,Fast
3,2,1,40,1.518,0.204,35,Fast
3,2,2,40,1.075,0.476,38,Fast
3,1,1,40,1.302,0.361,38,Fast
3,2,2,45,0.937,0.061,35,Fast
3,2,2,45,0.857,0.13,35,Fast
3,2,1,30,2.028,1.24,32,Fast
3,1,1,30,1.251,0.941,35,Fast
3,1,1,20,2.148,1.466,35,Fast
3,2,1,20,2.807,1.085,32,Fast
3,1,2,35,0.988,2.159,35,Fast
3,1,1,55,0.667,1.174,38,Fast
3,1,1,50,0.653,0.301,38,Fast
3,2,2,50,1.167,1.019,35,Fast
3,1,1,35,1.462,0.2,35,Fast
3,2,2,35,1.217,1.421,32,Fast
3,1,2,50,1.332,0.58,32,Fast
3,2,2,45,1.653,0.281,35,Fast
3,2,2,30,2.722,2.117,35,Fast
3,2,1,25,1.542,1.74,32,Fast
3,2,2,40,1.197,0.386,35,Fast
3,2,2,45,1.225,0.06,35,Fast
3,2,2,50,1.202,0.256,32,Fast
3,1,1,50,0.657,0.221,32,Fast
3,2,2,30,1.587,1.629,29,Fast
3,1,2,30,1.472,0.336,29,Fast
3,1,1,30,1.142,0.48,32,Fast
3,2,2,35,1.471,0.181,32,Fast
3,1,1,10,2.758,1.731,29,Fast
3,1,1,40,0.686,0.225,29,Fast
3,2,2,30,1.633,0.186,26,Fast
3,2,2,40,1.172,0.22,26,Fast
3,1,1,35,1.718,1.926,23,Fast
3,2,2,35,1.197,0.146,23,Fast
3,2,2,101,2.438,1.504,23,Fast
3,2,1,20,3.077,3.031,23,Fast
3,1,1,25,1.377,1.145,26,Fast
3,2,2,30,1.047,0.636,26,Fast
3,2,2,80,0.92,1.751,53,Slow
3,1,1,80,0.584,1.156,53,Slow
3,1,1,80,0.797,0.965,50,Slow
3,1,1,80,0.622,0.146,50,Slow
3,2,2,85,0.628,1.866,47,Slow
3,2,2,70,0.807,0.526,47,Slow
3,2,2,60,1.208,0.406,44,Slow
3,1,1,50,0.652,0.276,44,Slow
3,2,2,55,0.832,0.671,41,Slow
3,1,1,35,1.647,1.891,41,Slow
3,1,1,45,0.916,0.23,38,Slow
3,2,2,75,0.817,0.901,38,Slow
3,1,1,40,1.482,0.436,35,Slow
3,2,2,45,0.997,2.811,35,Slow
3,2,2,60,1.192,0.231,32,Slow
3,1,1,50,0.947,2.305,32,Slow
3,1,1,35,1.482,0.681,29,Slow
3,1,1,60,0.667,1.061,29,Slow
